Datenum RHTd Global Event NonEvent
730713 97.0603448275862 52.6103333333333 0 1
730714 70.8713333333333 340.104333333333 1 0
730721 91.1226923076923 127.462857142857 0 1
730729 78.8982142857143 202.681071428571 0 1
730730 78.8964705882353 177.4795 0 1
730731 79.5474074074074 253.335555555556 0 1
730739 67.1257692307692 288.823846153846 1 0
730744 60.8704 294.9952 1 0
730745 63.2676 277.714 1 0
730749 97.0852173913044 96.7173913043478 0 1
730750 64.3339130434782 306.318260869565 1 0
730751 53.9130434782609 290.809565217391 1 0
730752 59.4030434782609 291.197826086956 1 0
730755 61.497619047619 276.597391304348 1 0
730758 87.4386956521739 69.1873913043478 0 1
730759 75.4431818181818 140.292727272727 0 1
730761 73.8404761904762 116.532380952381 0 1
730762 96.7971428571429 39.0338095238095 0 1
730763 98.8161904761905 36.4047619047619 0 1
730764 96.56 68.9209523809524 0 1
730765 95.4890476190476 56.3947619047619 0 1
730766 85.332380952381 173.66380952381 0 1
730767 86.0442857142857 56.0966666666667 0 1
730772 93.9284210526316 60.1689473684211 0 1
730774 92.551875 44.1405263157895 0 1
730775 95.998947368421 30.5857894736842 0 1
730780 99.1572222222222 20.625 0 1
730783 92.4683333333333 28.33 0 1
730785 81.8929411764706 57.8817647058823 0 1
730786 89.4605882352941 57.4658823529412 0 1
730787 83.3141176470588 36.5123529411765 0 1
730789 94.15375 27.953125 0 1
730792 99.188125 17.12875 0 1
730794 90.640625 11.545 0 1
730797 93.6946666666667 44.04 0 1
730798 96.1373333333333 4.92533333333333 0 1
730799 94.9 22.012 0 1
730800 98.9742857142857 21.8478571428571 0 1
730801 97.4571428571428 62.0478571428571 0 1
730802 98.9164285714286 18.0178571428571 0 1
730807 97.2146153846154 25.7738461538462 0 1
730808 93.7284615384616 10.3107692307692 0 1
730809 98.2276923076923 33.3792307692308 0 1
730810 97.77 8.58384615384615 0 1
730811 86.6961538461539 10.6069230769231 0 1
730812 79.6030769230769 35.8507692307692 0 1
730813 97.3553846153846 4.12692307692308 0 1
730814 98.308 9.778 0 1
730815 94.17625 5.22833333333333 0 1
730816 95.9566666666667 7.84333333333333 0 1
730817 95.32 10.375 0 1
730818 91.0518181818182 5.83454545454545 0 1
730819 96.05 15.7436363636364 0 1
730820 98.14 6.29181818181818 0 1
730821 96.8972727272727 5.97818181818182 0 1
730825 96.3290909090909 7.89363636363636 0 1
730826 97.0954545454546 4.00363636363636 0 1
730827 95.69 5.99909090909091 0 1
730829 98.7027272727273 9.96909090909091 0 1
730831 93.7918181818182 8.20090909090909 0 1
730835 95.3436363636364 9.55818181818182 0 1
730836 96.824 6.886 0 1
730837 93.42 7.254 0 1
730838 93.01 11.648 0 1
730839 90.15 9.43 0 1
730840 93.349 20.663 0 1
730841 90.7177777777778 16.073 0 1
730842 93.9925 13.4266666666667 0 1
730843 95.036 12.296 0 1
730844 90.613 8.913 0 1
730845 NaN 25.4666666666667 0 1
730846 95.26 6.004 0 1
730850 95.638 7.551 0 1
730851 97.522 9.095 0 1
730852 97.445 6.194 0 1
730854 96.201 12.422 0 1
730855 97.4227272727273 6.33272727272727 0 1
730856 97.51 NaN 0 1
730858 95.6266666666667 NaN 0 1
730859 95.9066666666667 NaN 0 1
730861 93.81 18.7041666666667 0 1
